project-key,project-name,repo,github_org,github_repo,gh_repo_visibility
BBSMIG,bbs-migration-demo,Maven Hello World,aliakseim-10765507,calotracker_bbs-12a,private
BBSMIG,bbs-migration-demo,solid-api,aliakseim-10765507,solid-api_bbs-12a,private
